20,13,9,56,32,22
39,30,16,51,37,40
8,37,45,48,33,30
38,26,30,8,31,48
35,13,11,50,49,16
32,12,43,37,24,60
25,26,9,13,22,31
41,16,40,20,15,13
53,6,19,9,38,55
47,41,32,7,23,42
53,39,11,16,20,24
26,32,56,2,8,46
37,49,41,54,11,38
35,5,44,18,43,29
22,12,17,18,19,14
58,6,46,53,44,2
25,37,39,13,41,12
44,26,23,49,60,24
19,25,44,46,3,57
30,48,36,4,39,15
56,31,37,7,44,42
60,9,19,4,17,37
13,7,36,25,58,4
29,5,23,34,53,60
33,41,38,27,4,35
44,50,17,28,37,1
42,56,33,20,51,44
34,6,58,39,14,24
35,22,32,20,50,3
46,21,35,29,14,22
15,21,24,45,29,10
39,42,43,51,31,32
5,43,16,11,9,57
28,34,51,19,40,30
51,36,3,58,10,25
31,7,30,41,56,50
18,54,25,6,30,42
19,3,34,53,48,41
17,55,9,41,38,49
35,49,19,22,47,41
45,28,34,29,25,41
54,25,5,10,49,32
2,3,51,48,54,7
17,58,9,60,30,8
4,58,3,40,11,42
16,22,7,55,19,28
38,11,52,57,17,25
56,49,31,4,45,42
20,24,17,27,40,60
9,46,4,32,31,42
49,41,16,51,28,21
4,48,59,29,47,18
21,8,34,47,42,23
2,51,49,9,34,55
20,27,50,8,10,28
18,42,49,47,9,23
22,4,20,25,13,60
41,53,55,9,16,31
12,33,44,52,35,36
53,16,11,57,13,36
22,35,17,41,20,42
42,28,45,14,12,55
11,8,39,14,48,53
54,45,30,57,37,58
27,36,34,16,57,10
33,37,60,34,46,52
31,2,43,19,60,16
35,27,39,20,50,59
5,10,2,29,34,41
41,43,25,28,14,46
30,6,35,48,39,42
17,25,6,35,49,40
54,58,52,28,44,60
35,48,30,33,3,8
49,11,56,43,52,2
10,17,1,26,30,53
28,6,7,42,45,49
45,3,58,26,20,49
60,39,3,46,47,27
60,9,35,43,5,3
13,42,17,28,53,29
33,60,11,29,9,30
26,9,58,38,60,13
38,53,46,55,33,16
28,58,19,3,57,33
57,55,38,7,16,22
12,54,57,21,29,56
17,50,48,20,3,7
44,43,25,18,27,22
18,36,47,52,35,17
37,39,21,9,54,43
3,40,19,60,2,44
13,21,49,41,17,31
20,22,41,59,35,40
29,6,36,59,21,1
28,6,41,26,35,13
9,43,20,41,33,15
1,48,42,10,2,37
18,57,6,33,42,16
37,31,26,12,36,49
60,36,5,57,44,18
6,34,37,38,45,9
35,39,2,26,56,40
29,4,2,41,6,56
42,43,41,9,21,30
12,10,33,7,42,1
46,36,12,10,4,14
24,4,37,43,59,60
30,52,12,27,36,45
35,40,14,55,50,27
50,28,58,29,59,31
28,12,20,5,27,14
34,17,37,43,8,45
23,10,53,60,22,37
49,27,5,18,57,15
25,50,2,53,4,36
8,55,40,11,33,17
58,15,20,16,38,40
5,41,11,49,24,2
6,10,41,52,27,28
41,16,48,14,38,39
55,14,23,29,11,1
4,30,52,23,13,28
48,49,53,20,32,33
23,37,59,10,58,31
50,20,46,23,14,39
29,19,8,2,37,3
43,49,57,33,9,24
7,30,46,23,8,14
23,26,51,27,29,7
37,12,14,34,35,47
54,56,58,20,27,41
26,7,1,23,14,5
18,30,21,31,34,51
9,37,30,10,54,47
20,15,57,49,39,41
47,4,24,44,56,9
32,39,55,33,52,31
46,50,1,17,37,30
58,22,26,15,54,5
39,52,27,57,58,33
4,49,9,31,47,53
20,9,42,29,30,15
42,53,47,1,44,48
9,33,46,24,27,5
33,11,14,34,15,18
11,5,42,3,34,37
14,38,28,18,35,54
24,42,18,5,25,9
56,18,26,13,1,40
25,9,7,10,58,19
27,39,7,31,46,45
57,36,11,58,55,45
60,27,28,20,53,11
7,53,43,20,45,38
14,55,35,30,18,57
47,29,42,4,27,21
45,35,6,41,4,32
31,34,38,47,7,8
4,13,53,40,25,57
39,17,56,60,26,7
6,41,40,29,58,11
19,45,39,9,23,32
9,6,27,32,12,57
2,7,38,30,4,16
1,37,47,44,46,32
23,50,58,32,52,16
49,26,2,56,40,42
14,48,30,29,59,13
23,34,45,57,5,56
38,58,35,3,40,57
57,59,45,8,28,36
16,6,38,22,52,48
16,32,36,30,14,10
24,42,48,10,43,49
21,23,43,1,19,33
18,30,4,10,34,47
7,5,10,60,32,46
51,58,53,52,26,23
27,44,36,54,41,40
11,33,34,25,24,17
